Region,Area,Site,Month,Weekday,Saturday,Sunday,Daily
East Midlands,Foxton,Site8,January,6005,6036,5719,5880
East Midlands,Foxton,Site8,February,5994,5932,5655,5811
East Midlands,Foxton,Site8,March,5646,5807,5891,5844
East Midlands,Foxton,Site8,April,5851,5863,5928,5913
East Midlands,Foxton,Site8,May,5859,5796,5860,5905
East Midlands,Foxton,Site8,June,5788,5795,5959,5885
East Midlands,Foxton,Site8,July,5826,5884,5582,5837
East Midlands,Foxton,Site8,August,5909,5982,5841,5852
East Midlands,Foxton,Site8,September,5752,5857,5789,5776
East Midlands,Foxton,Site8,October,5742,5844,5921,5802
East Midlands,Foxton,Site8,November,6068,5771,5849,6022
East Midlands,Foxton,Site8,December,5883,5986,5920,6045
East Midlands,Foxton,Site9,January,6041,5853,5898,5925
East Midlands,Foxton,Site9,February,5992,5967,5919,5935
East Midlands,Foxton,Site9,March,5803,6036,5969,5849
East Midlands,Foxton,Site9,April,5781,5712,5809,5775
East Midlands,Foxton,Site9,May,5962,5949,6017,6055
East Midlands,Foxton,Site9,June,5851,5887,5964,5853
East Midlands,Foxton,Site9,July,5982,5966,5897,5945
East Midlands,Foxton,Site9,August,6129,5879,6074,6014
East Midlands,Foxton,Site9,September,5877,5790,6080,5930
East Midlands,Foxton,Site9,October,6009,5932,5981,5813
East Midlands,Foxton,Site9,November,6031,5896,5715,5816
East Midlands,Foxton,Site9,December,6035,5834,5870,5857
East Midlands,Ilkeston,Site10,January,5698,5734,6006,6007
East Midlands,Ilkeston,Site10,February,5788,5810,5942,5974
East Midlands,Ilkeston,Site10,March,5849,5845,5808,5726
East Midlands,Ilkeston,Site10,April,6027,5932,5924,5952
East Midlands,Ilkeston,Site10,May,5836,5670,5804,5847
East Midlands,Ilkeston,Site10,June,6185,6065,5766,5993
East Midlands,Ilkeston,Site10,July,5658,5722,6087,5864
East Midlands,Ilkeston,Site10,August,5609,5823,5790,5886
East Midlands,Ilkeston,Site10,September,5912,5863,5809,5883
East Midlands,Ilkeston,Site10,October,5925,6062,5635,5969
East Midlands,Ilkeston,Site10,November,5975,5933,5979,6005
East Midlands,Ilkeston,Site10,December,5990,5947,6026,5976
East Midlands,Ilkeston,Site11,January,5854,5739,5770,6015
East Midlands,Ilkeston,Site11,February,6016,6007,5699,5789
East Midlands,Ilkeston,Site11,March,6137,5785,6044,5849
East Midlands,Ilkeston,Site11,April,5783,5871,5845,5883
East Midlands,Ilkeston,Site11,May,5769,6049,5847,5938
East Midlands,Ilkeston,Site11,June,5994,5921,5790,5966
East Midlands,Ilkeston,Site11,July,5772,5828,5813,5926
East Midlands,Ilkeston,Site11,August,5847,5962,5875,5917
East Midlands,Ilkeston,Site11,September,5829,5760,6046,5798
East Midlands,Ilkeston,Site11,October,5869,5960,6013,5757
East Midlands,Ilkeston,Site11,November,5732,5950,5879,5867
East Midlands,Ilkeston,Site11,December,5857,5821,5884,5909
East Midlands,Ilkeston,Site12,January,5847,5898,5937,5729
East Midlands,Ilkeston,Site12,February,5852,5956,5935,5745
East Midlands,Ilkeston,Site12,March,5666,6011,5862,5924
East Midlands,Ilkeston,Site12,April,5788,5772,5851,5895
East Midlands,Ilkeston,Site12,May,5794,5996,5897,6068
East Midlands,Ilkeston,Site12,June,6014,5965,5863,5971
East Midlands,Ilkeston,Site12,July,5738,5975,5783,5828
East Midlands,Ilkeston,Site12,August,5813,5926,5949,5759
East Midlands,Ilkeston,Site12,September,5812,6019,5778,6021
East Midlands,Ilkeston,Site12,October,6065,6055,5899,5770
East Midlands,Ilkeston,Site12,November,5658,5984,5881,5754
East Midlands,Ilkeston,Site12,December,5961,5741,5926,5849
East Midlands,Ilkeston,Site13,January,5777,5975,5674,5770
East Midlands,Ilkeston,Site13,February,5851,5836,5929,5945
East Midlands,Ilkeston,Site13,March,6073,5918,5871,5729
East Midlands,Ilkeston,Site13,April,5852,5875,5861,5972
East Midlands,Ilkeston,Site13,May,5699,5879,5847,5807
East Midlands,Ilkeston,Site13,June,5716,6064,5763,5918
East Midlands,Ilkeston,Site13,July,5953,5931,5895,5772
East Midlands,Ilkeston,Site13,August,5845,5869,5931,6183
East Midlands,Ilkeston,Site13,September,5739,5773,5730,5990
East Midlands,Ilkeston,Site13,October,5695,5957,5679,6028
East Midlands,Ilkeston,Site13,November,5655,5945,6042,5928
East Midlands,Ilkeston,Site13,December,5964,5809,5963,5921
East Midlands,Ilkeston,Site14,January,6074,5986,5966,6018
East Midlands,Ilkeston,Site14,February,5897,5693,5874,5932
East Midlands,Ilkeston,Site14,March,5833,5909,5827,5943
East Midlands,Ilkeston,Site14,April,5902,5825,5784,5847
East Midlands,Ilkeston,Site14,May,5773,5976,5797,5897
East Midlands,Ilkeston,Site14,June,5884,5941,5917,5945
East Midlands,Ilkeston,Site14,July,5954,6036,5928,5733
East Midlands,Ilkeston,Site14,August,5828,5928,5706,5713
East Midlands,Ilkeston,Site14,September,5876,6018,5899,5877
East Midlands,Ilkeston,Site14,October,5867,5977,5825,5949
East Midlands,Ilkeston,Site14,November,5961,5876,5906,5899
East Midlands,Ilkeston,Site14,December,5775,5913,5942,5841
East Midlands,Ilkeston,Site15,January,5852,5795,6102,5894
East Midlands,Ilkeston,Site15,February,5895,5876,5942,5951
East Midlands,Ilkeston,Site15,March,6025,5705,5827,5737
East Midlands,Ilkeston,Site15,April,5862,5765,5711,5736
East Midlands,Ilkeston,Site15,May,5959,6013,5785,5785
East Midlands,Ilkeston,Site15,June,5960,6044,5827,5856
East Midlands,Ilkeston,Site15,July,6065,5913,5844,5882
East Midlands,Ilkeston,Site15,August,5950,5972,6133,5862
East Midlands,Ilkeston,Site15,September,5832,5896,6022,5866
East Midlands,Ilkeston,Site15,October,6019,5953,5740,5909
East Midlands,Ilkeston,Site15,November,6016,5919,6046,5840
East Midlands,Ilkeston,Site15,December,5788,5778,5936,5874
East Midlands,Ilkeston,Site16,January,5917,5763,5763,5880
East Midlands,Ilkeston,Site16,February,6002,5770,5902,5843
East Midlands,Ilkeston,Site16,March,5739,5866,5825,5891
East Midlands,Ilkeston,Site16,April,5858,5833,6102,6177
East Midlands,Ilkeston,Site16,May,5795,5981,5886,5848
East Midlands,Ilkeston,Site16,June,5983,5790,5848,6019
East Midlands,Ilkeston,Site16,July,5886,5899,5638,5681
East Midlands,Ilkeston,Site16,August,5965,5926,5971,5804
East Midlands,Ilkeston,Site16,September,5871,5581,5849,5991
East Midlands,Ilkeston,Site16,October,5823,5937,5824,5794
East Midlands,Ilkeston,Site16,November,5884,5983,5892,5982
East Midlands,Ilkeston,Site16,December,6034,5870,5939,5933
East Midlands,Ilkeston,Site17,January,5996,5864,5785,5892
East Midlands,Ilkeston,Site17,February,5996,5904,5897,5641
East Midlands,Ilkeston,Site17,March,5809,5987,5818,5729
East Midlands,Ilkeston,Site17,April,5927,5846,5568,5762
East Midlands,Ilkeston,Site17,May,5861,5974,5741,5854
East Midlands,Ilkeston,Site17,June,5904,5705,6011,5911
East Midlands,Ilkeston,Site17,July,5815,5812,5951,5795
East Midlands,Ilkeston,Site17,August,5852,6062,5871,5957
East Midlands,Ilkeston,Site17,September,5919,5920,5904,5970
East Midlands,Ilkeston,Site17,October,5889,6085,5976,5805
East Midlands,Ilkeston,Site17,November,6055,5965,5781,6017
East Midlands,Ilkeston,Site17,December,5812,5633,5748,5870
East Midlands,Ilkeston,Site18,January,5997,5728,5960,5771
East Midlands,Ilkeston,Site18,February,5756,5889,5968,5869
East Midlands,Ilkeston,Site18,March,5864,5579,5802,5796
East Midlands,Ilkeston,Site18,April,5837,5995,5909,5813
East Midlands,Ilkeston,Site18,May,5766,5872,5812,5795
East Midlands,Ilkeston,Site18,June,5797,5954,5942,5836
East Midlands,Ilkeston,Site18,July,5925,5801,5790,5779
East Midlands,Ilkeston,Site18,August,5795,5916,6019,5810
East Midlands,Ilkeston,Site18,September,5888,5878,5957,5998
East Midlands,Ilkeston,Site18,October,5822,5965,5745,6021
East Midlands,Ilkeston,Site18,November,5856,5901,5935,5815
East Midlands,Ilkeston,Site18,December,6060,5852,5780,6072
East Midlands,Leicester,Site19,January,5844,5883,5953,5964
East Midlands,Leicester,Site19,February,5924,5938,5884,5840
East Midlands,Leicester,Site19,March,5748,5755,5915,5931
East Midlands,Leicester,Site19,April,5860,5757,5913,5964
East Midlands,Leicester,Site19,May,5820,5892,5740,5727
East Midlands,Leicester,Site19,June,5978,5850,5912,5826
East Midlands,Leicester,Site19,July,5722,5760,6136,5975
East Midlands,Leicester,Site19,August,6073,6079,5800,5862
East Midlands,Leicester,Site19,September,5972,5995,5832,5912
East Midlands,Leicester,Site19,October,5934,5939,5821,5968
East Midlands,Leicester,Site19,November,5669,5954,5882,5837
East Midlands,Leicester,Site19,December,5897,5836,5809,5930
East Midlands,Leicester,Site20,January,5823,5855,6069,5932
East Midlands,Leicester,Site20,February,5697,5774,6093,5880
East Midlands,Leicester,Site20,March,5869,5683,6088,5848
East Midlands,Leicester,Site20,April,6128,6008,5867,5801
East Midlands,Leicester,Site20,May,5944,6081,6001,5886
East Midlands,Leicester,Site20,June,5960,6121,5819,5904
East Midlands,Leicester,Site20,July,5903,5745,5885,5997
East Midlands,Leicester,Site20,August,5918,6001,5969,5957
East Midlands,Leicester,Site20,September,5898,5790,5913,5739
East Midlands,Leicester,Site20,October,5828,5703,6059,5713
East Midlands,Leicester,Site20,November,5915,5780,5740,5936
East Midlands,Leicester,Site20,December,5952,5682,5851,5887
East Midlands,Leicester,Site21,January,6009,5881,5733,5910
East Midlands,Leicester,Site21,February,5974,5960,5984,5718
East Midlands,Leicester,Site21,March,6078,6026,5923,6087
East Midlands,Leicester,Site21,April,6218,6050,6054,5922
East Midlands,Leicester,Site21,May,5966,5907,5787,5817
East Midlands,Leicester,Site21,June,6014,5679,5910,5978
East Midlands,Leicester,Site21,July,5909,5764,5790,5978
East Midlands,Leicester,Site21,August,5912,5989,5784,5974
East Midlands,Leicester,Site21,September,5899,5995,6006,5911
East Midlands,Leicester,Site21,October,6127,6072,5874,5942
East Midlands,Leicester,Site21,November,5751,5819,5800,5705
East Midlands,Leicester,Site21,December,5793,5961,6024,6018
East Midlands,Leicester,Site22,January,5702,5825,5759,5813
East Midlands,Leicester,Site22,February,6014,5865,5768,5732
East Midlands,Leicester,Site22,March,5711,5702,6142,5946
East Midlands,Leicester,Site22,April,6010,5787,6007,5964
East Midlands,Leicester,Site22,May,5903,5737,5972,5991
East Midlands,Leicester,Site22,June,6014,5908,5791,5842
East Midlands,Leicester,Site22,July,5947,5779,5890,5927
East Midlands,Leicester,Site22,August,5886,5792,5775,6101
East Midlands,Leicester,Site22,September,5931,5960,5852,5775
East Midlands,Leicester,Site22,October,5951,5998,5835,5860
East Midlands,Leicester,Site22,November,5942,5815,5812,5982
East Midlands,Leicester,Site22,December,5917,5964,5869,5815
East Midlands,Leicester,Site23,January,5906,6046,5870,6067
East Midlands,Leicester,Site23,February,6056,5866,5997,5832
East Midlands,Leicester,Site23,March,5821,5879,5882,5853
East Midlands,Leicester,Site23,April,6040,5824,5936,5863
East Midlands,Leicester,Site23,May,5850,5940,5850,5930
East Midlands,Leicester,Site23,June,5875,5880,5840,5916
East Midlands,Leicester,Site23,July,5824,5895,5883,5793
East Midlands,Leicester,Site23,August,5927,5939,5928,5937
East Midlands,Leicester,Site23,September,5878,5976,6128,5972
East Midlands,Leicester,Site23,October,5836,5714,5844,5955
East Midlands,Leicester,Site23,November,5904,5714,6033,5763
East Midlands,Leicester,Site23,December,5840,5870,5925,5922
East Midlands,Leicester,Site24,January,5827,6054,5932,5844
East Midlands,Leicester,Site24,February,5849,5823,5851,5886
East Midlands,Leicester,Site24,March,5883,5838,5901,5921
East Midlands,Leicester,Site24,April,5849,5745,5839,5875
East Midlands,Leicester,Site24,May,5872,5816,5833,5899
East Midlands,Leicester,Site24,June,5989,5770,5922,5756
East Midlands,Leicester,Site24,July,5934,5907,5743,5994
East Midlands,Leicester,Site24,August,6030,5986,6022,6029
East Midlands,Leicester,Site24,September,5723,5952,6018,5675
East Midlands,Leicester,Site24,October,5912,5957,5830,6049
East Midlands,Leicester,Site24,November,5939,6132,5881,5714
East Midlands,Leicester,Site24,December,5857,5797,5944,5707
East Midlands,Leicester,Site25,January,5857,5924,5621,5780
East Midlands,Leicester,Site25,February,5782,5883,5782,5893
East Midlands,Leicester,Site25,March,5861,6050,5831,5843
East Midlands,Leicester,Site25,April,5783,5934,5979,5826
East Midlands,Leicester,Site25,May,5866,5843,5847,6150
East Midlands,Leicester,Site25,June,5838,5875,5782,5883
East Midlands,Leicester,Site25,July,6084,5833,5768,5822
East Midlands,Leicester,Site25,August,5931,5886,5828,5772
East Midlands,Leicester,Site25,September,5711,5815,5971,5905
East Midlands,Leicester,Site25,October,6131,5882,5820,5972
East Midlands,Leicester,Site25,November,5875,5868,6040,5973
East Midlands,Leicester,Site25,December,5891,5798,5951,5909
East Midlands,Leicester,Site26,January,5675,5855,6030,5774
East Midlands,Leicester,Site26,February,5816,6050,5655,5825
East Midlands,Leicester,Site26,March,5937,5832,5871,5944
East Midlands,Leicester,Site26,April,5761,5715,5797,5870
East Midlands,Leicester,Site26,May,5901,5930,5841,5785
East Midlands,Leicester,Site26,June,6056,6131,5769,5845
East Midlands,Leicester,Site26,July,5667,5858,5956,6022
East Midlands,Leicester,Site26,August,5946,5954,5837,5888
East Midlands,Leicester,Site26,September,5947,5851,5637,5701
East Midlands,Leicester,Site26,October,5981,5797,5981,5839
East Midlands,Leicester,Site26,November,5990,5923,5922,5728
East Midlands,Leicester,Site26,December,5946,5865,5816,5901
London and South East,London,Site1,January,5819,5864,5842,5759
London and South East,London,Site1,February,5915,5790,5942,5938
London and South East,London,Site1,March,5848,5715,5860,5884
London and South East,London,Site1,April,5899,5735,6061,5948
London and South East,London,Site1,May,5944,5993,5926,5849
London and South East,London,Site1,June,5819,5624,5726,5763
London and South East,London,Site1,July,5898,5860,5957,5981
London and South East,London,Site1,August,5825,6038,5903,5901
London and South East,London,Site1,September,5659,6001,5935,5845
London and South East,London,Site1,October,5871,5798,5739,5851
London and South East,London,Site1,November,5857,5898,5958,5911
London and South East,London,Site1,December,5719,5992,5926,5787
London and South East,London,Site2,January,5882,6061,5920,5865
London and South East,London,Site2,February,5932,5844,5902,5742
London and South East,London,Site2,March,5871,5748,5830,5867
London and South East,London,Site2,April,5944,5948,5948,5948
London and South East,London,Site2,May,5844,5927,6008,5785
London and South East,London,Site2,June,5806,6011,5920,5813
London and South East,London,Site2,July,5826,5910,5895,5858
London and South East,London,Site2,August,5771,5830,6004,5887
London and South East,London,Site2,September,6028,5837,5831,5973
London and South East,London,Site2,October,5894,5892,5796,5885
London and South East,London,Site2,November,5770,5751,5873,5968
London and South East,London,Site2,December,6004,5983,5997,5905
London and South East,London,Site3,January,5864,6063,5848,5872
London and South East,London,Site3,February,5820,5848,5992,5821
London and South East,London,Site3,March,5812,5911,5820,6059
London and South East,London,Site3,April,5599,5830,6078,5883
London and South East,London,Site3,May,5945,6041,5791,5839
London and South East,London,Site3,June,5790,5888,5911,6023
London and South East,London,Site3,July,5716,5785,5785,6007
London and South East,London,Site3,August,5933,5820,5769,5938
London and South East,London,Site3,September,5936,5758,5675,5956
London and South East,London,Site3,October,5979,5829,5950,5944
London and South East,London,Site3,November,5973,5887,5857,5754
London and South East,London,Site3,December,5617,5765,5884,5790
London and South East,London,Site4,January,5889,5807,5829,5688
London and South East,London,Site4,February,5894,5944,5905,5868
London and South East,London,Site4,March,5891,5952,5675,5950
London and South East,London,Site4,April,5933,5808,5759,5816
London and South East,London,Site4,May,5879,5879,5987,5887
London and South East,London,Site4,June,6000,5838,5887,5684
London and South East,London,Site4,July,5916,5909,5852,5935
London and South East,London,Site4,August,5955,5747,5986,5931
London and South East,London,Site4,September,6062,5780,5945,5987
London and South East,London,Site4,October,5821,5797,5821,5919
London and South East,London,Site4,November,5990,5966,5861,5820
London and South East,London,Site4,December,5951,5938,5805,5759
London and South East,London,Site5,January,5907,5832,5918,5896
London and South East,London,Site5,February,5862,6051,5697,5904
London and South East,London,Site5,March,5938,5658,5976,5748
London and South East,London,Site5,April,5917,5830,5866,5840
London and South East,London,Site5,May,5811,5964,5854,6027
London and South East,London,Site5,June,5844,5818,5817,6027
London and South East,London,Site5,July,5847,5822,6033,5931
London and South East,London,Site5,August,5837,5747,5855,6106
London and South East,London,Site5,September,5828,5682,5700,5891
London and South East,London,Site5,October,5714,5892,5753,5923
London and South East,London,Site5,November,5863,5976,5858,5748
London and South East,London,Site5,December,5904,5907,5935,5838
London and South East,London,Site6,January,5921,5835,5947,6028
London and South East,London,Site6,February,5929,5831,5877,5737
London and South East,London,Site6,March,5946,5803,5807,5968
London and South East,London,Site6,April,5983,5810,5807,5701
London and South East,London,Site6,May,6024,5732,5963,5890
London and South East,London,Site6,June,5919,5785,5824,6018
London and South East,London,Site6,July,5881,5597,6067,5847
London and South East,London,Site6,August,5944,6004,5948,5792
London and South East,London,Site6,September,5819,5787,5869,5879
London and South East,London,Site6,October,5976,5972,5973,5986
London and South East,London,Site6,November,5746,5857,5952,5840
London and South East,London,Site6,December,6073,5914,5802,5833
London and South East,London,Site7,January,5953,6013,5855,5761
London and South East,London,Site7,February,5948,5885,6042,5907
London and South East,London,Site7,March,5951,5913,5892,5825
London and South East,London,Site7,April,5921,5864,5782,6069
London and South East,London,Site7,May,5987,5914,5849,5925
London and South East,London,Site7,June,5793,5909,5814,5911
London and South East,London,Site7,July,5854,5908,6115,5891
London and South East,London,Site7,August,6012,5782,5813,6042
London and South East,London,Site7,September,6047,6072,5823,5990
London and South East,London,Site7,October,5844,5955,5897,5714
London and South East,London,Site7,November,5993,5806,5844,5933
London and South East,London,Site7,December,5941,5663,5882,5930
London and South East,Milton Keynes,Site8,January,5760,6072,6024,5814
London and South East,Milton Keynes,Site8,February,5915,5808,5968,5875
London and South East,Milton Keynes,Site8,March,5929,5723,6007,5902
London and South East,Milton Keynes,Site8,April,5910,5894,5856,5860
London and South East,Milton Keynes,Site8,May,5941,5726,5892,5852
London and South East,Milton Keynes,Site8,June,5841,6024,5750,5805
London and South East,Milton Keynes,Site8,July,5957,5944,6009,6003
London and South East,Milton Keynes,Site8,August,5726,6050,5818,5939
London and South East,Milton Keynes,Site8,September,5848,5880,5866,6006
London and South East,Milton Keynes,Site8,October,5896,5862,5821,6017
London and South East,Milton Keynes,Site8,November,5933,5884,5947,5885
London and South East,Milton Keynes,Site8,December,5937,5561,5694,5757
London and South East,Milton Keynes,Site9,January,5845,5906,5672,6013
London and South East,Milton Keynes,Site9,February,5885,5983,5826,5802
London and South East,Milton Keynes,Site9,March,6020,5825,6035,5758
London and South East,Milton Keynes,Site9,April,5921,5912,5797,5981
London and South East,Milton Keynes,Site9,May,5875,6060,5919,6019
London and South East,Milton Keynes,Site9,June,5967,5832,5716,5944
London and South East,Milton Keynes,Site9,July,5863,5693,5844,5896
London and South East,Milton Keynes,Site9,August,5836,5863,5795,5796
London and South East,Milton Keynes,Site9,September,5964,5992,5704,5809
London and South East,Milton Keynes,Site9,October,5896,5873,5870,5901
London and South East,Milton Keynes,Site9,November,5823,5972,6070,5877
London and South East,Milton Keynes,Site9,December,5950,5954,5837,5752
London and South East,Milton Keynes,Site10,January,5893,5970,5819,6001
London and South East,Milton Keynes,Site10,February,5910,5793,5802,5804
London and South East,Milton Keynes,Site10,March,5876,5866,5748,5845
London and South East,Milton Keynes,Site10,April,5960,6024,5808,5954
London and South East,Milton Keynes,Site10,May,5895,5998,5886,5857
London and South East,Milton Keynes,Site10,June,5988,5742,5920,6006
London and South East,Milton Keynes,Site10,July,5781,5949,5834,5837
London and South East,Milton Keynes,Site10,August,5844,5763,5888,5785
London and South East,Milton Keynes,Site10,September,5713,5912,5896,5825
London and South East,Milton Keynes,Site10,October,5720,6001,5938,5849
London and South East,Milton Keynes,Site10,November,6018,5992,5976,5933
London and South East,Milton Keynes,Site10,December,5809,6012,6012,5734
London and South East,Milton Keynes,Site11,January,5739,5846,5853,5975
London and South East,Milton Keynes,Site11,February,5781,5824,5623,5831
London and South East,Milton Keynes,Site11,March,5962,5766,5859,5810
London and South East,Milton Keynes,Site11,April,6001,5880,5986,5779
London and South East,Milton Keynes,Site11,May,6114,5738,5846,6026
London and South East,Milton Keynes,Site11,June,5899,5771,5930,5883
London and South East,Milton Keynes,Site11,July,5881,5910,5881,5856
London and South East,Milton Keynes,Site11,August,5796,5936,6059,5837
London and South East,Milton Keynes,Site11,September,5974,5871,5884,6103
London and South East,Milton Keynes,Site11,October,5960,5829,5982,5788
London and South East,Milton Keynes,Site11,November,5903,5781,5863,5715
London and South East,Milton Keynes,Site11,December,5946,5900,5667,5978
London and South East,Milton Keynes,Site12,January,5915,6023,5892,6047
London and South East,Milton Keynes,Site12,February,5873,5811,5929,5834
London and South East,Milton Keynes,Site12,March,5737,5795,5944,5798
London and South East,Milton Keynes,Site12,April,5990,5727,6026,6005
London and South East,Milton Keynes,Site12,May,6059,5679,5861,6030
London and South East,Milton Keynes,Site12,June,5924,5946,5907,5856
London and South East,Milton Keynes,Site12,July,5809,5850,5865,5891
London and South East,Milton Keynes,Site12,August,5949,5988,5843,6119
London and South East,Milton Keynes,Site12,September,5891,5699,5870,5989
London and South East,Milton Keynes,Site12,October,6004,5915,5971,5972
London and South East,Milton Keynes,Site12,November,5826,5870,5737,5880
London and South East,Milton Keynes,Site12,December,5924,5730,5977,5902
London and South East,Milton Keynes,Site13,January,5837,5919,6013,5877
London and South East,Milton Keynes,Site13,February,5834,5926,5913,5867
London and South East,Milton Keynes,Site13,March,5982,5837,5972,5793
London and South East,Milton Keynes,Site13,April,5885,5951,5866,5930
London and South East,Milton Keynes,Site13,May,5964,5997,5763,5966
London and South East,Milton Keynes,Site13,June,6045,5748,5906,5818
London and South East,Milton Keynes,Site13,July,5766,6016,5981,5803
London and South East,Milton Keynes,Site13,August,5972,5867,5747,5895
London and South East,Milton Keynes,Site13,September,5967,6028,5741,5928
London and South East,Milton Keynes,Site13,October,5999,6035,5867,5902
London and South East,Milton Keynes,Site13,November,5824,5787,5888,5940
London and South East,Milton Keynes,Site13,December,5876,5678,5984,5774
London and South East,Milton Keynes,Site14,January,6142,5892,5716,5953
London and South East,Milton Keynes,Site14,February,5962,5673,5940,5839
London and South East,Milton Keynes,Site14,March,5976,5785,5979,5816
London and South East,Milton Keynes,Site14,April,6010,6013,5937,5915
London and South East,Milton Keynes,Site14,May,5983,5746,5754,5756
London and South East,Milton Keynes,Site14,June,5838,5829,6106,5788
London and South East,Milton Keynes,Site14,July,5973,6051,5815,5721
London and South East,Milton Keynes,Site14,August,5996,6005,5958,5776
London and South East,Milton Keynes,Site14,September,6058,5919,5942,6026
London and South East,Milton Keynes,Site14,October,5903,5813,5870,5965
London and South East,Milton Keynes,Site14,November,5687,5920,5937,6000
